first_name,last_name,email,gender,start_date_of_work,age,experience,total_efficiency,start_date_project,end_date_project,on_time,role_on_project,n_of_project,deathline,name_of_project,version,cost,client_experience,client_name
Larry,Woods,lwoods0@exblog.jp,Male,09/11/2014,60,29,69.89,04/10/2014,21/06/2016,true,Accounting Assistant IV,10,14/10/2014,Home Ing,0.9.3,984.91,7,Jetwire
Benjamin,Perry,bperry1@cnn.com,Male,08/09/2015,35,19,84.937,21/05/2014,20/12/2013,false,Recruiting Manager,4,01/06/2014,Otcom,9.95,837,2,Dynabox
Carlos,Cole,ccole2@google.es,Male,29/07/2016,29,35,47.739,11/03/2016,05/04/2016,true,Systems Administrator II,5,04/05/2014,Stim,2.23,206.28,3,Realbuzz
Theresa,Robinson,trobinson3@aboutads.info,Female,17/11/2013,59,26,85.308,25/03/2016,23/07/2014,false,Tax Accountant,10,18/10/2014,Duobam,8.68,313.86,8,Yotz
Douglas,Rice,drice4@icq.com,Male,23/04/2014,41,29,10.731,04/10/2014,07/08/2014,false,Quality Control Specialist,8,16/10/2015,Y-find,7.77,498.17,7,Zazio
Stephanie,Ward,sward5@shinystat.com,Female,18/02/2016,36,6,23.182,24/06/2015,12/03/2015,true,Financial Analyst,2,16/11/2014,Daltfresh,0.8.7,555.63,7,Yakijo
Daniel,Chapman,dchapman6@yahoo.co.jp,Male,22/04/2014,36,24,3.949,05/04/2014,18/07/2016,false,Cost Accountant,8,22/09/2014,Opela,3.8.8,222.9,3,Eare
Frances,Snyder,fsnyder7@symantec.com,Female,07/04/2014,27,12,82.3,20/09/2013,15/10/2014,false,Physical Therapy Assistant,8,26/08/2015,Veribet,0.4.7,157.74,6,Eayo
Stephanie,Brooks,sbrooks8@army.mil,Female,13/07/2015,54,15,91.125,11/08/2016,10/03/2015,false,Civil Engineer,10,04/04/2015,Sonsing,0.5.5,427.16,1,Mymm
Cynthia,Jacobs,cjacobs9@admin.ch,Female,13/05/2016,50,50,26.662,23/06/2016,20/12/2013,true,Marketing Assistant,8,28/04/2015,Y-Solowarm,0.25,433.32,10,Quire
Brenda,Carroll,bcarrolla@angelfire.com,Female,14/09/2014,42,30,34.565,20/01/2016,17/11/2013,true,Environmental Specialist,1,12/01/2015,Lotlux,2.4,465.9,2,Brightbean
Kathleen,Bryant,kbryantb@joomla.org,Female,07/11/2015,37,34,32.234,02/02/2016,07/06/2015,false,Community Outreach Specialist,4,06/08/2016,Voyatouch,0.58,919.23,8,Meevee
Joyce,Larson,jlarsonc@discuz.net,Female,09/10/2014,23,35,89.533,29/05/2016,18/05/2014,false,Accounting Assistant IV,7,24/05/2016,Matsoft,8.53,971.12,10,Kimia
Denise,Cruz,dcruzd@imageshack.us,Female,10/01/2015,38,4,13.91,18/11/2013,11/08/2016,true,Programmer Analyst II,7,11/06/2014,Andalax,0.3.8,549.38,1,Photobean
Frances,Griffin,fgriffine@printfriendly.com,Female,15/08/2014,54,35,42.559,21/02/2016,17/11/2015,true,Social Worker,7,26/06/2016,Lotlux,2.9.6,680.51,7,Jabbercube
Nicole,Knight,nknightf@theguardian.com,Female,18/12/2013,21,21,97.3,27/08/2016,29/09/2014,false,Research Assistant II,1,23/02/2015,Mat Lam Tam,0.4.0,578.94,7,Skyndu
Craig,Burns,cburnsg@stumbleupon.com,Male,17/01/2016,20,47,99.358,06/07/2014,06/04/2016,false,VP Quality Control,8,22/08/2014,Flexidy,0.6.7,949.77,8,Edgepulse
Paul,Phillips,pphillipsh@jiathis.com,Male,10/01/2014,48,49,34.667,22/10/2015,25/08/2016,false,Human Resources Manager,6,10/11/2015,Solarbreeze,0.24,119.75,10,Twiyo
Benjamin,Kennedy,bkennedyi@sina.com.cn,Male,09/04/2016,37,24,26.444,23/02/2016,15/08/2016,false,Registered Nurse,1,08/04/2015,Sonair,8.74,157.29,4,Jabbersphere
Phyllis,Ortiz,portizj@google.nl,Female,03/09/2013,42,9,68.689,24/10/2013,10/02/2014,true,Electrical Engineer,9,26/09/2015,Zamit,0.13,798.97,2,Feedmix
Heather,Freeman,hfreemank@wikispaces.com,Female,24/04/2016,53,25,70.249,11/01/2015,30/01/2014,true,Senior Financial Analyst,3,06/02/2015,Cookley,3.1,113,4,Fadeo
Sarah,Gardner,sgardnerl@ftc.gov,Female,13/11/2015,27,22,54.481,23/01/2015,26/07/2016,false,Senior Quality Engineer,8,25/11/2014,Konklux,3.92,123.57,5,Vidoo
Donna,Cook,dcookm@google.com.au,Female,06/09/2015,20,27,12.5,03/03/2016,21/12/2014,true,Pharmacist,9,06/03/2015,Stim,7.1.4,147.24,4,Mydo
Patricia,Palmer,ppalmern@marketwatch.com,Female,16/02/2016,61,44,56.778,24/05/2016,11/06/2014,false,Electrical Engineer,6,09/07/2014,Otcom,5.4.1,654.9,1,Mynte
